Name;Groups;Type;Party;Date;Platform
Compilation Disk;PowerLords;;;;ECS/OCS
Roswell;NFA;;;1994;ECS/OCS
Synthesis;Underground;;;1990;ECS/OCS
Music Collection;Katharsis;;;1991;ECS/OCS
Psygnosis Musical Picture Disc #1;Psygnosis & S.R.S;;;1989;ECS/OCS
Boris Vallejo;Apocalypse Bay;;;1996;ECS/OCS
Sweltering Forest;Apocalypse Bay;;;1994;ECS/OCS
Taylor Dayne: Tell It To My Heart;Algotech Software;;;1999;ECS/OCS
Sigh;Old Bulls;Musicdisk;;1991;ECS/OCS
Rubbish;Amega Industries;Demo;;1991;ECS/OCS
Music Collection;Exocet;Musicdisk;;1989;ECS/OCS
Musicbox;Exodus;Musicdisk;;1990;ECS/OCS