EntryName;QueryPatch
AigleDOrFr;laigle dor le retour
AlienBreed3DDemoLatestAGA;alien breed 3d
AlienBreed3DDemoPlayAGA;alien breed 3d
AlienBreed3DDemoRollAGA;alien breed 3d
BiingAGADe;biing sex intrigen und skalpelle
BombPacCD32AGA;bomb pac
DefenderOfTheCrown2CD32;defender of the crown ii
DefenseurCouronne2CD32Fr;defender of the crown ii
DiggersCD32;diggers cd32
DifensoreCorona2CD32It;defender of the crown ii
DefensorDeLaCorona2CD32Es;defender of the crown ii
FastBrainPl;fast brain
FighterBomberAM;fighter bomber
FunturatumPl;funturatum
Humans;humans the
MeanArenasCD32;mean arenas cd32
Mickey123Fr;mickeys 123s the big surprise party
MickeyABCFr;mickeys abcs a day at the fair
OscarCD32;oscar cd32
ProjectXBonusLevel;project x
QuestForGlory;heros quest so you want to be a hero
Renegade3;renegade iii the final chapter
RipDisk2;burning rubber
R³sselsheim;russelsheim
R³sselsheimAGA;russelsheim
RuesselsheimDe;russelsheim
SabreTeamCD32;sabre team cd32
ThomasTankEngPinballCD32;thomas tank eng pinball aga
UniverseCD32;universe cd32
WalkerCrunched;walker
WalkerDecrunched;walker
WinterChallenge;winter challenge world class competition
WorldClassSoccer;italy 90 soccer
WCLeaderBoard&DataDisks;world class leaderboard golf