Name;Groups;Type;Party;Date;Platform
Compilation Disk;PowerLords;;;;ECS/OCS
Roswell;NFA;;;1994;ECS/OCS
Synthesis;Underground;;;1990;ECS/OCS
Music Collection;Katharsis;;;1991;ECS/OCS
Psygnosis Musical Picture Disc #1;Psygnosis & S.R.S;;;1989;ECS/OCS
Boris Vallejo;Apocalypse Bay;;;1996;ECS/OCS
Sweltering Forest;Apocalypse Bay;;;1994;ECS/OCS
Taylor Dayne: Tell It To My Heart;Algotech Software;;;1999;ECS/OCS
Sigh;Old Bulls;Musicdisk;;1991;ECS/OCS
Rubbish;Amega Industries;Demo;;1991;ECS/OCS
Music Collection;Exocet;Musicdisk;;1989;ECS/OCS
Musicbox;Exodus;Musicdisk;;1990;ECS/OCS
Darktro;Darkness;Intro;;1992;ECS/OCS
Algebra;Dragon Stone;Demo;;1991;ECS/OCS
Megademo;Vermin;Megademo;Vision and Mirage X-Mas Party;1990;ECS/OCS
Music Selector;Deadlock;;1990;ECS/OCS
Royal Music;The Magic Guild;Musicdisk;The Gathering 1992;1992;ECS/OCS
C-64;Quadlite;Demo;;1989;ECS/OCS
Music Disc Vol. 1;Disknet;Musicdisk;;1990;ECS/OCS
Music Thingy;Exit;Musicdisk;;1990;ECS/OCS
Chip Music;Slipstream;Music Demo;;1989;ECS/OCS
Intro;The Code Killers GDR;Intro;;1989;ECS/OCS
Mega Trax Vol. 1;Inner City;Musicdisk;;1990;ECS/OCS
Sound and Vision 2;Rebels;Musicdisk;;1990;ECS/OCS